time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1350;115.28;3.3736739;1.82682;0.3166246;7.5091;-4.50909;2.30403;1.6944;-0.93898;-0.39009;-0.23909;0.41433;0.0421;-0.77987
1360;115.393;3.5241055;1.847;0.3103388;8.35468;-4.94571;2.35883;1.78838;-0.85551;-0.44655;-0.37098;0.35941;0.55166;-1.07424
1370;116.873;3.4908552;1.84261;0.2739675;7.81647;-5.81718;2.78391;1.90981;-0.57949;-0.12858;0.06797;0.66562;0.42499;-0.90821
1380;113.567;3.6071403;1.85117;0.2737252;8.28724;-5.68834;3.08136;2.3337;-0.37492;-0.07652;0.69583;0.37443;0.13967;-0.78547
1390;114.802;3.856365;1.87278;0.2790986;9.20184;-6.05484;2.64454;2.16554;0.14158;-0.01072;0.26948;0.12471;0.12747;-1.28625
1400;114.012;3.9064758;1.87497;0.2678887;9.38283;-6.04462;2.87812;2.29456;0.4636;0.40937;0.38522;-0.37163;0.33075;-1.01853
1410;114.463;3.9736125;1.88057;0.2694666;9.34898;-6.37718;2.63338;2.06682;0.71533;0.53252;0.1754;0.0279;0.38513;-1.4804
1420;117.281;3.8258193;1.86593;0.2366282;8.6544;-6.92674;2.95815;2.11421;0.29835;-0.16769;0.18943;0.60376;0.37133;-1.36683
1430;115.999;3.8944666;1.86954;0.2552754;8.70511;-7.15111;2.73418;2.3506;0.75215;0.20005;0.18055;0.42667;0.05954;-1.3481
1440;115.512;4.1125755;1.88;0.2531185;9.16201;-6.68212;3.82592;2.64192;0.91836;0.60753;0.3708;-0.10032;0.25596;-1.44533
1450;113.593;4.2466626;1.88728;0.2680686;9.97982;-6.43009;3.35467;2.92361;0.63947;1.22686;0.29295;-0.52234;0.30448;-1.58047
1460;114.171;4.1615601;1.8786;0.270831;9.99839;-6.03363;3.29012;2.58589;0.64822;1.08654;0.39227;-0.551;0.3082;-1.23946
1470;114.705;3.9865336;1.87073;0.2609529;9.91584;-5.41262;3.7085;2.10555;0.16049;0.6797;0.53536;-0.45912;0.57598;-0.90565
1480;114.893;3.8268456;1.85307;0.2867026;9.76487;-4.43672;3.22135;1.69811;-0.17699;0.63439;0.80863;-0.84785;0.45102;-0.89093
1490;113.156;3.8362558;1.84653;0.2693706;9.49744;-4.50539;3.31623;1.50771;-0.02571;0.61265;0.97066;-0.78492;0.8637;-0.62482
1500;115.888;3.9684699;1.86811;0.2766351;10.13324;-4.77059;3.56982;1.94913;-0.09683;0.78647;0.76251;-0.80755;0.9934;-1.12981
1510;115.702;3.9337411;1.86507;0.2862771;10.18838;-4.2684;3.7498;1.82746;-0.24337;0.12802;1.24091;-0.77461;0.91035;-0.78381
1520;114.118;3.7990711;1.8633;0.2733622;9.75298;-4.6791;3.89303;1.63735;0.02453;-0.22177;1.28567;-0.294;0.87775;-0.18307
1530;112.791;3.8992693;1.86188;0.3002873;10.27701;-3.96238;3.31288;1.63977;-0.21707;0.26336;1.1283;-0.87695;1.14536;-0.68292
1540;113.595;3.9618514;1.86571;0.2952705;10.35288;-4.23559;3.04092;1.57664;0.1441;0.12152;0.72685;-0.63355;1.07096;-0.64925
1550;117.846;3.9509251;1.85587;0.2941519;10.09786;-4.152;3.52079;1.69668;-0.00525;0.78383;0.93566;-0.83917;1.47779;-0.40945
1560;116.158;3.9299188;1.87303;0.2979052;10.56626;-4.23727;3.63707;1.42285;-0.13715;0.01237;0.95687;-0.6865;1.18196;-0.60289
1570;116.188;3.7899308;1.85388;0.3021348;10.10023;-3.6824;3.64887;1.16037;-0.56909;-0.10864;1.28733;-0.61651;1.48551;-0.64501
1580;114.378;3.7643857;1.85815;0.2867256;9.62479;-4.03884;3.90624;1.16752;-0.19114;-0.17659;1.09458;-0.35563;0.91935;-0.48123
1590;116.459;3.6607637;1.84569;0.305195;9.44468;-3.48161;4.1729;0.9428;-0.67184;-0.3747;1.26238;-0.54304;0.99864;-0.1965
1600;116.959;3.9352138;1.86291;0.3162108;10.3805;-3.70502;3.895;1.25047;-0.49738;0.17793;0.8418;-0.97486;1.15719;-0.6099
1610;116.049;3.9250579;1.86704;0.3018802;10.26505;-4.07462;3.79406;1.21951;-0.25414;0.44396;0.80582;-1.12632;1.3024;-0.70495
1620;115.597;4.1228995;1.87332;0.3126889;10.83818;-4.16806;3.42187;1.44753;-0.06512;0.66315;0.78949;-1.14189;0.799;-1.28323
1630;116.634;3.8849688;1.86407;0.3079538;10.08037;-4.2185;2.98577;1.11447;0.35155;0.04735;0.5177;-0.5451;0.5843;-0.6472
1640;116.683;3.7715814;1.8506;0.3164724;9.86197;-4.10857;2.65901;1.54569;-0.62578;0.01561;0.13677;-0.51521;0.61156;-0.69051
1650;118.057;3.6330051;1.85155;0.3039786;9.25445;-4.35467;3.36003;1.07125;-0.27853;-0.29078;0.37169;-0.04686;0.29763;-0.15687
1660;117.651;3.5998049;1.83984;0.3272261;9.29489;-3.8412;2.82802;0.55126;-0.28683;0.04243;0.2867;-0.75104;0.59222;0.02674
1670;117.384;3.6752589;1.83302;0.3437375;9.34235;-3.16292;2.74239;0.41941;-0.439;0.15584;0.2874;-1.25047;0.49345;-0.2473
1680;118.587;3.4326439;1.81678;0.3694743;8.49386;-2.70393;2.32216;0.28793;-0.5187;0.00056;0.05026;-1.10388;0.20846;0.13798
1690;120.208;3.6556883;1.8487;0.3772696;9.43895;-2.91464;2.21402;0.94544;-0.30291;0.53614;-0.10393;-1.51152;0.19593;-0.36596
1700;114.784;3.67963;1.83536;0.3416941;9.50653;-3.44513;2.48334;0.99827;-0.57707;1.06979;0.56963;-1.68162;0.55566;-0.5719
1710;114.315;3.7013049;1.83493;0.3503647;9.56675;-2.86767;2.72337;0.4849;-0.7838;0.17645;0.13096;-1.31179;0.46839;-0.59459
1720;116.233;3.7343287;1.83796;0.3197695;9.63012;-3.34298;3.24172;0.4831;-0.88159;0.43164;0.61667;-1.19652;0.70235;-0.89173
1730;116.648;3.6227093;1.82358;0.2829666;8.78963;-4.05758;3.4068;0.73033;-0.45575;0.24578;0.46181;-0.88327;0.45597;-0.49655
1740;117.046;3.6501238;1.84025;0.2885915;8.83539;-4.35698;3.22445;0.39502;-0.33258;0.0102;0.33669;-0.83928;-0.03558;-0.64451
